@relation 'FIROModality: -C 2 '

@attribute Obligation_Class {0,1}
@attribute Prohibition_Class {0,1}
@attribute text string

@data
1,0,'Application of customer due diligence measures\n\n7\n\n\n1\nSubject to regulations 9, 10, 12, 13, 14, 16(4) and 17, a relevant person must apply customer due diligence measures when heâ€”\n\naO\n\nestablishes a business relationship;\n\n\nb\n\ncarries out an occasional transaction;\n\n\nc\n\nsuspects money laundering or terrorist financing;\n\n\nd\n\ndoubts the veracity or adequacy of documents, data or information previously obtained for the purposes of identification or verification.\n\n\n\n\n2\n\nSubject to regulation 16(4), a relevant person must also apply customer due diligence measures at other appropriate times to existing customers on a risk-sensitive basis.\n\n\n\n3\n\nA relevant person mustâ€”\n\na\n\ndetermine the extent of customer due diligence measures on a risk-sensitive basis depending on the type of customer, business relationship, product or transaction; and\n\n\nb\n\nbe able to demonstrate to his supervisory authority that the extent of the measures is appropriate in view of the risks of money laundering and terrorist financing.\n\n\n\n\n4\n\nWhereâ€”\n\na\n\na relevant person is required to apply customer due diligence measures in the case of a trust, legal entity (other than a body corporate) or a legal arrangement (other than a trust); and\n\n\nb\n\nthe classwekaattribute of persons in whose main interest the trust, entity or arrangement is set up or operates is identified as a beneficial owner,\n\nthe relevant person is not required to identify all the members of the classwekaattribute.'
1,0,'Ongoing monitoring\n\n8\n\n\n1\nA relevant person must conduct ongoing monitoring of a business relationship.\n\n\n\n2\n\nâ€œOngoing monitoringâ€� of a business relationship meansâ€”\n\na\n\nscrutiny of transactions undertaken throughout the course of the relationship (including, where necessary, the source of funds) to ensure that the transactions are consistent with the relevant personâ€™s knowledge of the customer, his business and risk profile; and\n\n\nb\n\nkeeping the documents, data or information obtained for the purpose of applying customer due diligence measures up-to-date.\n\n\n\n\n3\n\nRegulation 7(3) applies to the duty to conduct ongoing monitoring under paragraph (1) as it applies to customer due diligence measures.'
1,0,'Timing of verification\n\n9\n\n\n1\nThis regulation applies in respect of the duty under regulation 7(1)(a) and (b) to apply the customer due diligence measures referred to in regulation 5(a) and (b).\n\n\n\n2\n\nSubject to paragraphs (3) to (5) and regulation 10, a relevant person must verify the identity of the customer (and any beneficial owner) before the establishment of a business relationship or the carrying out of an occasional transaction.\n\n\n\n3\n\nSuch verification may be completed during the establishment of a business relationship ifâ€”\n\na\n\nthis is necessary not to interrupt the normal conduct of business; and\n\n\nb\n\nthere is little risk of money laundering or terrorist financing occurring,\n\nprovided that the verification is completed as soon as practicable after contact is first established.\n\n\n\n4\n\nThe verification of the identity of the beneficiary under a life insurance policy may take place after the business relationship has been established provided that it takes place at or before the time of payout or at or before the time the beneficiary exercises a right vested under the policy.\n\n\n\n5\n\nThe verification of the identity of a bank account holder may take place after the bank account has been opened provided that there are adequate safeguards in place to ensure thatâ€”\n\na\n\nthe account is not closed; and\n\n\nb\n\ntransactions are not carried out by or on behalf of the account holder (including any payment from the account to the account holder),\n\nbefore verification has been completed.'
1,0,'c\n\nmust terminate any existing business relationship with the customer;\n\n\nd\n\nmust consider whether he is required to make a disclosure by Part 7 of the Proceeds of Crime Act 2002 or Part 3 of the Terrorism Act 2000.'
1,0,'Enhanced customer due diligence and ongoing monitoring\n\n14\n\n\n1\nA relevant person must apply on a risk-sensitive basis enhanced customer due diligence measures and enhanced ongoing monitoringâ€”\n\na\n\nin accordance with paragraphs (2) to (4);\n\n\nb\n\nin any other situation which by its nature can present a higher risk of money laundering or terrorist financing.\n\n\n\n\n2\n\nWhere the customer has not been physically present for identification purposes, a relevant person must take specific and adequate measures to compensate for the higher risk, for example, by applying one or more of the following measuresâ€”\n\na\n\nensuring that the customerâ€™s identity is established by additional documents, data or information;\n\n\nb\n\nsupplementary measures to verify or certify the documents supplied, or requiring confirmatory certification by a credit or financial institution which is subject to the money laundering directive;\n\n\nc\n\nensuring that the first payment is carried out through an account opened in the customerâ€™s name with a credit institution.\n\n\n\n\n3\n\nA credit institution (â€œthe correspondentâ€�) which has or proposes to have a correspondent banking relationship with a respondent institution (â€œthe respondentâ€�) from a non-EEA state mustâ€”\n\na\n\ngather sufficient information about the respondent to understand fully the nature of its business;\n\n\nb\n\ndetermine from publicly-available information the reputation of the respondent and the quality of its supervision;\n\n\nc\n\nassess the respondentâ€™s anti-money laundering and anti-terrorist financing controls;\n\n\nd\n\nobtain approval from senior management before establishing a new correspondent banking relationship;\n\n\ne\n\ndocument the respective responsibilities of the respondent and correspondent; and\n\n\nf\n\nbe satisfied that, in respect of those of the respondentâ€™s customers who have direct access to accounts of the correspondent, the respondentâ€”\n\ni\n\nhas verified the identity of, and conducts ongoing monitoring in respect of, such customers; and\n\n\nii\n\nis able to provide to the correspondent, upon request, the documents, data or information obtained when applying customer due diligence measures and ongoing monitoring.\n\n\n\n\n\n4\n\nA relevant person who proposes to have a business relationship or carry out an occasional transaction with a politically exposed person mustâ€”\n\na\n\nhave approval from senior management for establishing the business relationship with that person;\n\n\nb\n\ntake adequate measures to establish the source of wealth and source of funds which are involved in the proposed business relationship or occasional transaction; and\n\n\nc\n\nwhere the business relationship is entered into, conduct enhanced ongoing monitoring of the relationship.'
1,0,'ranches and subsidiaries\n\n15\n\n\n1\nA credit or financial institution must require its branches and subsidiary undertakings which are located in a non-EEA state to apply, to the extent permitted by the law of that state, measures at least equivalent to those set out in these Regulations with regard to customer due diligence measures, ongoing monitoring and record-keeping.\n\n\n\n2\n\nWhere the law of a non-EEA state does not permit the application of such equivalent measures by the branch or subsidiary undertaking located in that state, the credit or financial institution mustâ€”\n\na\n\ninform its supervisory authority accordingly; and\n\n\nb\n\ntake additional measures to handle effectively the risk of money laundering and terrorist financing.'
1,0,'4\n\nBefore the entry into force of section 1162 of the Companies Act 2006 the reference to that section in paragraph (3)(a) shall be treated as a reference to section 258 of the Companies Act 1985 (parent and subsidiary undertakings).'
1,0,'A credit institution must take appropriate measures to ensure that it does not enter into, or continue, a corresponding banking relationship with a bank which is known to permit its accounts to be used by a shell bank.'
1,0,'4\n\nAs soon as reasonably practicable on or after 15th December 2007 all credit and financial institutions carrying on business in the United Kingdom must apply customer due diligence measures to, and conduct ongoing monitoring of, all anonymous accounts and passbooks in existence on that date and in any event before such accounts or passbooks are used.'
1,0,'Policies and procedures\n\n20\n\n\n1\nA relevant person must establish and maintain appropriate and risk-sensitive policies and procedures relating toâ€”\n\na\n\ncustomer due diligence measures and ongoing monitoring;\n\n\nb\n\nreporting;\n\n\nc\n\nrecord-keeping;\n\n\nd\n\ninternal control;\n\n\ne\n\nrisk assessment and management;\n\n\nf\n\nthe monitoring and management of compliance with, and the internal communication of, such policies and procedures,\n\nin order to prevent activities related to money laundering and terrorist financing.\n\n\n\n2\n\nThe policies and procedures referred to in paragraph (1) include policies and proceduresâ€”\n\na\n\nwhich provide for the identification and scrutiny ofâ€”\n\ni\n\ncomplex or unusually large transactions;\n\n\nii\n\nunusual patterns of transactions which have no apparent economic or visible lawful purpose; and\n\n\niii\n\nany other activity which the relevant person regards as particularly likely by its nature to be related to money laundering or terrorist financing;\n\n\n\nb\n\nwhich specify the taking of additional measures, where appropriate, to prevent the use for money laundering or terrorist financing of products and transactions which might favour anonymity;\n\n\nc\n\nto determine whether a customer is a politically exposed person;\n\n\nd\n\nunder whichâ€”\n\ni\n\nan individual in the relevant personâ€™s organisation is a nominated officer under Part 7 of the Proceeds of Crime Act 2002 and Part 3 of the Terrorism Act 2000 ;\n\n\nii\n\nanyone in the organisation to whom information or other matter comes in the course of the business as a result of which he knows or suspects or has reasonable grounds for knowing or suspecting that a person is engaged in money laundering or terrorist financing is required to comply with Part 7 of the Proceeds of Crime Act 2002 or, as the case may be, Part 3 of the Terrorism Act 2000; and\n\n\niii\n\nwhere a disclosure is made to the nominated officer, he must consider it in the light of any relevant information which is available to the relevant person and determine whether it gives rise to knowledge or suspicion or reasonable grounds for knowledge or suspicion that a person is engaged in money laundering or terrorist financing.\n\n\n\n\n\n3\n\nParagraph (2)(d) does not apply where the relevant person is an individual who neither employs nor acts in association with any other person.\n\n\n\n4\n\nA credit or financial institution must establish and maintain systems which enable it to respond fully and rapidly to enquiries from financial investigators accredited under section 3 of the Proceeds of Crime Act 2002 (accreditation and training), persons acting on behalf of the Scottish Ministers in their capacity as an enforcement authority under that Act, officers of Revenue and Customs or constables as toâ€”\n\na\n\nwhether it maintains, or has maintained during the previous five years, a business relationship with any person; and\n\n\nb\n\nthe nature of that relationship.\n\n\n\n\n5\n\nA credit or financial institution must communicate where relevant the policies and procedures which it establishes and maintains in accordance with this regulation to its branches and subsidiary undertakings which are located outside the United Kingdom.\n\n\n\n6\n\nIn this regulationâ€”\n\n\nâ€œpolitically exposed personâ€� has the same meaning as in regulation 14(4);\n\n\n\nâ€œsubsidiary undertakingâ€� has the same meaning as in regulation 15.'
