"0.701	",and procedures
"0.701	",policies and
"0.701	",Reporting
"0.701	",policies and procedures
"0.695	",policies
"0.691	",a trust or
"0.686	",as a money
"0.68	",person whose
"0.674	",to act as
"0.663	",procedures
"0.662	",a customer
"0.657	",business or a
"0.635	",before
"0.634	",the same meaning
"0.634	",as in
"0.634	",same meaning as
"0.634	",same meaning
"0.634	",meaning as
"0.634	",meaning as in
"0.627	",or has
"0.624	",to act
"0.622	",acting
"0.621	",inform the
"0.612	",imposed by
"0.607	",authorised person
"0.602	",inform
"0.597	",immediately
"0.585	",a trust
"0.564	",the same
"0.564	",same
"0.547	",or a
"0.545	",as a
"0.54	",of the Proceeds
"0.536	",Act 5
"0.522	",as
"0.521	",the Authority
"0.519	",nominated officer
"0.516	",authorised
"0.51	",nominated
"0.51	",a money service
"0.507	",was
"0.501	",exposed
"0.5	",to be treated
"0.494	",an individual
"0.481	",Suspicious Activity Reporting
"0.481	",Record Keeping
"0.48	",does not apply
"0.477	",act as
"0.467	",information to be
"0.467	",to be provided
"0.462	",were
"0.458	",a money
"0.458	",an authorised
"0.458	",an authorised person
"0.457	",specify
"0.456	",Act 2002
"0.456	",Proceeds of Crime
"0.456	",Crime Act
"0.456	",Proceeds of
"0.456	",Crime Act 2002
"0.456	",Proceeds
"0.456	",the Proceeds
"0.456	",of Crime Act
"0.456	",the Proceeds of
"0.456	",of Crime
"0.455	",Part 3
"0.454	",act
"0.442	",must be
"0.438	",determine
"0.436	",to
"0.436	",person and
"0.436	",in such
"0.428	",to
"0.425	",Where an
"0.425	",Authority
"0.423	",it may
"0.423	",not apply
"0.417	",information to
"0.417	",person
"0.413	",of the Terrorism
"0.411	",service business or
"0.405	",Terrorism Act 2000
"0.402	",company service provider
"0.402	",treated as
"0.402	",be treated as
"0.4	",Part 7
"0.397	",Part 3
"0.394	",not apply to
"0.393	",service provider or
"0.393	",provider or
"0.391	",relevant person and
"0.387	",establish
"0.387	",be provided
"0.383	",A credit or
"0.382	",Disclosure
"0.378	",such manner
