@relation 'FIROInstances: -C 16'

@attribute 'Due diligence measures_Nom' {f,t}
@attribute 'Customer due diligence_Nom' {f,t}
@attribute 'Simplified due diligence_Nom' {f,t}
@attribute 'Enhanced due diligence_Nom' {f,t}
@attribute 'Customer Identity_Nom' {f,t}
@attribute 'Beneficial owner_Nom' {f,t}
@attribute 'Politically exposed persons_Nom' {f,t}
@attribute 'Public function_Nom' {f,t}
@attribute 'Business relationship_Nom' {f,t}
@attribute 'Purpose and nature of business relationship_Nom' {f,t}
@attribute 'Ownership and Control_Nom' {f,t}
@attribute 'Know your customer_Nom' {f,t}
@attribute KYC_Nom {f,t}
@attribute 'Correspondent banking_Nom' {f,t}
@attribute 'Customer identity_Nom' {f,t}
@attribute 'Customer verification_Nom' {f,t}
@attribute 'Reliable source documents_Nom' {f,t}
@attribute 'Documents, data and information_Nom' {f,t}
@attribute 'Identification and Verification requirements_Nom' {f,t}
@attribute 'Account opening_Nom' {f,t}
@attribute 'High-risk Customers_Nom' {f,t}
@attribute 'High-risk transactions_Nom' {f,t}
@attribute 'Risk-based assessment_Nom' {f,t}
@attribute Reports_Nom {f,t}
@attribute Reporting_Nom {f,t}
@attribute 'Annual Report_Nom' {f,t}
@attribute 'Internal Reporting_Nom' {f,t}
@attribute 'Internal Audits_Nom' {f,t}
@attribute 'Suspicious activity report_Nom' {f,t}
@attribute SAR_Nom {f,t}
@attribute Suspicions_Nom {f,t}
@attribute 'Suspicion of Money Laundering or Terrorist Financing_Nom' {f,t}
@attribute 'Suspicious Transaction report_Nom' {f,t}
@attribute STR_Nom {f,t}
@attribute SOCA_Nom {f,t}
@attribute 'Serious Organised Crime Agency_Nom' {f,t}
@attribute 'Requires information_Nom' {f,t}
@attribute Prosecution_Nom {f,t}
@attribute 'Search warrant_Nom' {f,t}
@attribute Penalties_Nom {f,t}
@attribute 'Civil penalty_Nom' {f,t}
@attribute 'Criminal penalty_Nom' {f,t}
@attribute 'Inspection of premises_Nom' {f,t}
@attribute 'Breach in compliance_Nom' {f,t}
@attribute 'Producing evidence_Nom' {f,t}
@attribute 'Enforcement powers_Nom' {f,t}
@attribute 'Regulatory authority_Nom' {f,t}
@attribute 'Supervisory body_Nom' {f,t}
@attribute 'Fail to comply_Nom' {f,t}
@attribute 'Criminal offence_Nom' {f,t}
@attribute 'Civil offence_Nom' {f,t}
@attribute 'Liable for criminal offence_Nom' {f,t}
@attribute 'Liable for civil offence_Nom' {f,t}
@attribute Monitoring_Nom {f,t}
@attribute 'Ongoing monitoring_Nom' {f,t}
@attribute 'Customer relationships_Nom' {f,t}
@attribute 'Transaction types_Nom' {f,t}
@attribute Countries_Nom {f,t}
@attribute 'Business Relationships_Nom' {f,t}
@attribute 'Suspicious Activity_Nom' {f,t}
@attribute 'Suspicious Transactions_Nom' {f,t}
@attribute Interpretation_Nom {f,t}
@attribute means_Nom {f,t}
@attribute 'has the meaning_Nom' {f,t}
@attribute 'have the same meaning_Nom' {f,t}
@attribute 'meaning of_Nom' {f,t}
@attribute 'have the meanings_Nom' {f,t}
@attribute Require_Nom {f,t}
@attribute must_Nom {f,t}
@attribute should_Nom {f,t}
@attribute register_Nom {f,t}
@attribute requirement_Nom {f,t}
@attribute text string
@attribute 'Internal Programme_Class' {0,1}
@attribute Enforcement_Class {0,1}
@attribute Defence_Class {0,1}
@attribute 'Training and Education_Class' {0,1}
@attribute Registration_Class {0,1}
@attribute Interpretation_Class {0,1}
@attribute Reporting_Class {0,1}
@attribute Disclosure_Class {0,1}
@attribute 'Suspicious Activity Reporting_Class' {0,1}
@attribute 'Record Keeping_Class' {0,1}
@attribute Penalty_Class {0,1}
@attribute 'Customer Due Diligence_Class' {0,1}
@attribute 'Review and Appeal Procedure_Class' {0,1}
@attribute Supervision_Class {0,1}
@attribute Monitoring_Class {0,1}
@attribute 'Customer Identification and Verification_Class' {0,1}

@data
t,t,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,'Policies and procedures  20   1 A relevant person must establish and maintain appropriate and risk-sensitive policies and procedures relating to—  a  customer due diligence measures and ongoing monitoring;   b  reporting;   c  record-keeping;   d  internal control;   e  risk assessment and management;   f  the monitoring and management of compliance with, and the internal communication of, such policies and procedures,  in order to prevent activities related to money laundering and terrorist financing.    2   The policies and procedures referred to in paragraph (1) include policies and procedures—  a  which provide for the identification and scrutiny of—  i  complex or unusually large transactions;   ii  unusual patterns of transactions which have no apparent economic or visible lawful purpose; and   iii  any other activity which the relevant person regards as particularly likely by its nature to be related to money laundering or terrorist financing;    b  which specify the taking of additional measures, where appropriate, to prevent the use for money laundering or terrorist financing of products and transactions which might favour anonymity;   c  to determine whether a customer is a politically exposed person;   d  under which—  i  an individual in the relevant person’s organisation is a nominated officer under Part 7 of the Proceeds of Crime Act 2002 and Part 3 of the Terrorism Act 2000 ;   ii  anyone in the organisation to whom information or other matter comes in the course of the business as a result of which he knows or suspects or has reasonable grounds for knowing or suspecting that a person is engaged in money laundering or terrorist financing is required to comply with Part 7 of the Proceeds of Crime Act 2002 or, as the case may be, Part 3 of the Terrorism Act 2000; and   iii  where a disclosure is made to the nominated officer, he must consider it in the light of any relevant information which is available to the relevant person and determine whether it gives rise to knowledge or suspicion or reasonable grounds for knowledge or suspicion that a person is engaged in money laundering or terrorist financing.      3  Paragraph (2)(d) does not apply where the relevant person is an individual who neither employs nor acts in association with any other person.    4  A credit or financial institution must establish and maintain systems which enable it to respond fully and rapidly to enquiries from financial investigators accredited under section 3 of the Proceeds of Crime Act 2002 (accreditation and training), persons acting on behalf of the Scottish Ministers in their capacity as an enforcement authority under that Act, officers of Revenue and Customs or constables as to—  a  whether it maintains, or has maintained during the previous five years, a business relationship with any person; and   b  the nature of that relationship.     5  A credit or financial institution must communicate where relevant the policies and procedures which it establishes and maintains in accordance with this regulation to its branches and subsidiary undertakings which are located outside the United Kingdom.    6  In this regulation—   “politically exposed person” has the same meaning as in regulation 14(4);    “subsidiary undertaking” has the same meaning as in regulation 15.',1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,'Training  21  A relevant person must take appropriate measures so that all relevant employees of his are—  a  made aware of the law relating to money laundering and terrorist financing; and   b  regularly given training in how to recognise and deal with transactions and other activities which may be related to money laundering or terrorist financing.',1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'Directions where Financial Action Task Force applies counter-measures  18  The Treasury may direct any relevant person—  a  not to enter into a business relationship;   b  not to carry out an occasional transaction; or   c  not to proceed any further with a business relationship or occasional transaction,  with a person who is situated or incorporated in a non-EEA state to which the Financial Action Task Force has decided to apply counter-measures.',0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,'Applications for registration in a register maintained under regulation 25  27   1 An applicant for registration in a register maintained under regulation 25 must make an application in such manner and provide such information as the Commissioners may specify.',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,'The information which the Commissioners may specify includes—  a  the applicant’s name and (if different) the name of the business;   b  the nature of the business;   c  the name of the nominated officer (if any);   d  in relation to a money service business or trust or company service provider—  i  the name of any person who effectively directs or will direct the business and any beneficial owner of the business; and   ii  information needed by the Commissioners to decide whether they must refuse the application pursuant to regulation 28 .',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,'At any time after receiving an application and before determining it, the Commissioners may require the applicant to provide, within 21 days beginning with the date of being requested to do so, such further information as they reasonably consider necessary to enable them to determine the application.',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,'If at any time after the applicant has provided the Commissioners with any information under paragraph (1) or (3)—  a  there is a material change affecting any matter contained in that information; or   b  it becomes apparent to that person that the information contains a significant inaccuracy,  he must provide the Commissioners with details of the change or, as the case may be, a correction of the inaccuracy within 30 days beginning with the date of the occurrence of the change (or the discovery of the inaccuracy) or within such later time as may be agreed with the Commissioners.',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'The obligation in paragraph (4) applies also to material changes or significant inaccuracies affecting any matter contained in any supplementary information provided pursuant to that paragraph.',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,'Any information to be provided to the Commissioners under this regulation must be in such form or verified in such manner as they may specify.',0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,t,'Determination of applications under regulation 27  29   1 Subject to regulation 28 , the Commissioners may refuse to register an applicant for registration in a register maintained under regulation 25 only if—  a  any requirement of, or imposed under, regulation 27 has not been complied with;   b  it appears to the Commissioners that any information provided pursuant to regulation 27 is false or misleading in a material particular; or   c  the applicant has failed to pay a charge imposed by them under regulation 35(1).',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
