@relation 'FIROInstances: -C 5 '

@attribute Enforcement_Class {0,1}
@attribute 'Customer Due Diligence_Class' {0,1}
@attribute Reporting_Class {0,1}
@attribute Monitoring_Class {0,1}
@attribute 'Customer Identification and Verification_Class' {0,1}
@attribute 'Due diligence measures_Nom' {f,t}
@attribute 'Customer due diligence_Nom' {f,t}
@attribute 'Simplified due diligence_Nom' {f,t}
@attribute 'Enhanced due diligence_Nom' {f,t}
@attribute 'Customer Identity_Nom' {f,t}
@attribute 'Beneficial owner_Nom' {f,t}
@attribute 'Politically exposed persons_Nom' {f,t}
@attribute 'Public function_Nom' {f,t}
@attribute 'Business relationship_Nom' {f,t}
@attribute 'Purpose and nature of business relationship_Nom' {f,t}
@attribute 'Ownership and Control_Nom' {f,t}
@attribute 'Know your customer_Nom' {f,t}
@attribute KYC_Nom {f,t}
@attribute 'Correspondent banking_Nom' {f,t}
@attribute 'Customer identity_Nom' {f,t}
@attribute 'Customer verification_Nom' {f,t}
@attribute 'Reliable source documents_Nom' {f,t}
@attribute 'Documents, data and information_Nom' {f,t}
@attribute 'Identification and Verification requirements_Nom' {f,t}
@attribute 'Account opening_Nom' {f,t}
@attribute 'High-risk Customers_Nom' {f,t}
@attribute 'High-risk transactions_Nom' {f,t}
@attribute 'Risk-based assessment_Nom' {f,t}
@attribute Reports_Nom {f,t}
@attribute Reporting_Nom {f,t}
@attribute 'Annual Report_Nom' {f,t}
@attribute 'Internal Reporting_Nom' {f,t}
@attribute 'Internal Audits_Nom' {f,t}
@attribute 'Suspicious activity report_Nom' {f,t}
@attribute SAR_Nom {f,t}
@attribute Suspicions_Nom {f,t}
@attribute 'Suspicion of Money Laundering or Terrorist Financing_Nom' {f,t}
@attribute 'Suspicious Transaction report_Nom' {f,t}
@attribute STR_Nom {f,t}
@attribute SOCA_Nom {f,t}
@attribute 'Serious Organised Crime Agency_Nom' {f,t}
@attribute 'Requires information_Nom' {f,t}
@attribute Prosecution_Nom {f,t}
@attribute 'Search warrant_Nom' {f,t}
@attribute Penalties_Nom {f,t}
@attribute 'Civil penalty_Nom' {f,t}
@attribute 'Criminal penalty_Nom' {f,t}
@attribute 'Inspection of premises_Nom' {f,t}
@attribute 'Breach in compliance_Nom' {f,t}
@attribute 'Producing evidence_Nom' {f,t}
@attribute 'Enforcement powers_Nom' {f,t}
@attribute 'Regulatory authority_Nom' {f,t}
@attribute 'Supervisory body_Nom' {f,t}
@attribute 'Fail to comply_Nom' {f,t}
@attribute 'Criminal offence_Nom' {f,t}
@attribute 'Civil offence_Nom' {f,t}
@attribute 'Liable for criminal offence_Nom' {f,t}
@attribute 'Liable for civil offence_Nom' {f,t}
@attribute Monitoring_Nom {f,t}
@attribute 'Ongoing monitoring_Nom' {f,t}
@attribute 'Customer relationships_Nom' {f,t}
@attribute 'Transaction types_Nom' {f,t}
@attribute Countries_Nom {f,t}
@attribute 'Business Relationships_Nom' {f,t}
@attribute 'Suspicious Activity_Nom' {f,t}
@attribute 'Suspicious Transactions_Nom' {f,t}
@attribute Interpretation_Nom {f,t}
@attribute means_Nom {f,t}
@attribute 'has the meaning_Nom' {f,t}
@attribute 'have the same meaning_Nom' {f,t}
@attribute 'meaning of_Nom' {f,t}
@attribute 'have the meanings_Nom' {f,t}
@attribute Require_Nom {f,t}
@attribute must_Nom {f,t}
@attribute should_Nom {f,t}
@attribute register_Nom {f,t}
@attribute requirement_Nom {f,t}
@attribute text string

@data
1,0,0,0,1,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'Directions where Financial Action Task Force applies counter-measures\n\n18\n\nThe Treasury may direct any relevant person—\n\na\n\nnot to enter into a business relationship;\n\n\nb\n\nnot to carry out an occasional transaction; or\n\n\nc\n\nnot to proceed any further with a business relationship or occasional transaction,\n\nwith a person who is situated or incorporated in a non-EEA state to which the Financial Action Task Force has decided to apply counter-measures.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,'Applications for registration in a register maintained under regulation 25\n\n27\n\n\n1\nAn applicant for registration in a register maintained under regulation 25 must make an application in such manner and provide such information as the Commissioners may specify.'
1,0,0,0,0,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,'The information which the Commissioners may specify includes—\n\na\n\nthe applicant’s name and (if different) the name of the business;\n\n\nb\n\nthe nature of the business;\n\n\nc\n\nthe name of the nominated officer (if any);\n\n\nd\n\nin relation to a money service business or trust or company service provider—\n\ni\n\nthe name of any person who effectively directs or will direct the business and any beneficial owner of the business; and\n\n\nii\n\ninformation needed by the Commissioners to decide whether they must refuse the application pursuant to regulation 28 .'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,'At any time after receiving an application and before determining it, the Commissioners may require the applicant to provide, within 21 days beginning with the date of being requested to do so, such further information as they reasonably consider necessary to enable them to determine the application.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,'If at any time after the applicant has provided the Commissioners with any information under paragraph (1) or (3)—\n\na\n\nthere is a material change affecting any matter contained in that information; or\n\n\nb\n\nit becomes apparent to that person that the information contains a significant inaccuracy,\n\nhe must provide the Commissioners with details of the change or, as the case may be, a correction of the inaccuracy within 30 days beginning with the date of the occurrence of the change (or the discovery of the inaccuracy) or within such later time as may be agreed with the Commissioners.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'The obligation in paragraph (4) applies also to material changes or significant inaccuracies affecting any matter contained in any supplementary information provided pursuant to that paragraph.'
1,0,1,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,'Any information to be provided to the Commissioners under this regulation must be in such form or verified in such manner as they may specify.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,t,'Determination of applications under regulation 27\n\n29\n\n\n1\nSubject to regulation 28 , the Commissioners may refuse to register an applicant for registration in a register maintained under regulation 25 only if—\n\na\n\nany requirement of, or imposed under, regulation 27 has not been complied with;\n\n\nb\n\nit appears to the Commissioners that any information provided pursuant to regulation 27 is false or misleading in a material particular; or\n\n\nc\n\nthe applicant has failed to pay a charge imposed by them under regulation 35(1).'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,f,'The Commissioners must within 45 days beginning either with the date on which they receive the application or, where applicable, with the date on which they receive any further information required under regulation 27(3) , give the applicant notice of—\n\na\n\ntheir decision to register the applicant; or\n\n\nb\n\nthe following matters—\n\ni\n\ntheir decision not to register the applicant;\n\n\nii\n\nthe reasons for their decision;\n\n\niii\n\nthe right to require a review under regulation 43; and\n\n\niv\n\nthe right to appeal under regulation 44(1)(a).'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,'The Commissioners must, as soon as practicable after deciding to register a person, include him in the relevant register.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,t,f,'Cancellation of registration in a register maintained under regulation 25\n\n30\n\n\n1\nThe Commissioners must cancel the registration of a money service business or trust or company service provider in a register maintained under regulation 25(1) if, at any time after registration, they are satisfied that he or any person mentioned in regulation 28 (1)(b), (c) or (d) is not a fit and proper person within the meaning of regulation 28(2) .'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,'The Commissioners may cancel a person’s registration in a register maintained by them under regulation 25 if, at any time after registration, it appears to them that they would have had grounds to refuse registration under regulation 29 (1).'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,'Where the Commissioners decide to cancel a person’s registration they must give him notice of—\n\na\n\ntheir decision and, subject to paragraph (4), the date from which the cancellation takes effect;\n\n\nb\n\nthe reasons for their decision;\n\n\nc\n\nthe right to require a review under regulation 43; and\n\n\nd\n\nthe right to appeal under regulation 44(1)(a).'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,'If the Commissioners—\n\na\n\nconsider that the interests of the public require the cancellation of a person’s registration to have immediate effect; and\n\n\nb\n\ninclude a statement to that effect and the reasons for it in the notice given under paragraph (3),\n\nthe cancellation takes effect when the notice is given to the person.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,'PART 5 ENFORCEMENT\n\nPowers of designated authorities\n\nInterpretation\n\n36\n\nIn this Part—\n\n\n“designated authority” means—\n\n\nthe Authority;\n\n\nthe Commissioners;\n\n\nthe OFT; and\n\n\nin relation to credit unions in Northern Ireland, DETI;\n\n\n\n\n\n“officer”, except in regulations 40(3), 41 and 47 means—\n\n\nan officer of the Authority, including a member of the Authority’s staff or an agent of the Authority;\n\n\nan officer of Revenue and Customs;\n\n\nan officer of the OFT;\n\n\na relevant officer; or\n\n\nan officer of DETI acting for the purposes of its functions under these Regulations in relation to credit unions in Northern Ireland;\n\n\n\n\n\n“recorded information” includes information recorded in any form and any document of any nature;\n\n\n\n“relevant officer” means—\n\n\nin Great Britain, an officer of a local weights and measures authority;\n\n\nin Northern Ireland, an officer of DETI acting pursuant to arrangements made with the OFT for the purposes of these Regulations.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,'Power to require information from, and attendance of, relevant and connected persons\n\n37\n\n\n1\nAn officer may, by notice to a relevant person or to a person connected with a relevant person, require the relevant person or the connected person, as the case may be—\n\na\n\nto provide such information as may be specified in the notice;\n\n\nb\n\nto produce such recorded information as may be so specified; or\n\n\nc\n\nto attend before an officer at a time and place specified in the notice and answer questions.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'For the purposes of paragraph (1), a person is connected with a relevant person if he is, or has at any time been, in relation to the relevant person, a person listed in Schedule 4 to these Regulations.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,'An officer may exercise powers under this regulation only if the information sought to be obtained as a result is reasonably required in connection with the exehttp://gate.ac.uk/owlim#Interpretationrcise by the designated authority for whom he acts of its functions under these Regulations.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,'Where an officer requires information to be provided or produced pursuant to paragraph (1)(a) or (b)—\n\na\n\nthe notice must set out the reasons why the officer requires the information to be provided or produced; and\n\n\nb\n\nsuch information must be provided or produced—\n\ni\n\nbefore the end of such reasonable period as may be specified in the notice; and\n\n\nii\n\nat such place as may be so specified.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,'In relation to information recorded otherwise than in legible form, the power to require production of it includes a power to require the production of a copy of it in legible form or in a form from which it can readily be produced in visible and legible form.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'The production of a document does not affect any lien which a person has on the document.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,'A person may not be required under this regulation to provide or produce information or to answer questions which he would be entitled to refuse to provide, produce or answer on grounds of legal professional privilege in proceedings in the High Court, except that a lawyer may be required to provide the name and address of his client.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,t,'Subject to paragraphs (9) and (10), a statement made by a person in compliance with a requirement imposed on him under paragraph (1)(c) is admissible in evidence in any proceedings, so long as it also complies with any requirements governing the admissibility of evidence in the circumstances in question.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'In criminal proceedings in which a person is charged with an offence to which this paragraph applies—\n\na\n\nno evidence relating to the statement may be adduced; and\n\n\nb\n\nno question relating to it may be asked,\n\nby or on behalf of the prosecution unless evidence relating to it is adduced, or a question relating to it is asked, in the proceedings by or on behalf of that person.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'Paragraph (9) applies to any offence other than one under—\n\na\n\nsection 5 of the Perjury Act 1911 (false statements without oath);\n\n\nb\n\nsection 44(2) of the Criminal Law (Consolidation)(Scotland) Act 1995 (false statements and declarations); or\n\n\nc\n\nArticle 10 of the Perjury (Northern Ireland) Order 1979 (false unsworn statements).'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'In the application of this regulation to Scotland, the reference in paragraph (7) to—\n\na\n\nproceedings in the High Court is to be read as a reference to legal proceedings generally; and\n\n\nb\n\nan entitlement on grounds of legal professional privilege is to be read as a reference to an entitlement on the grounds of confidentiality of communications.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,'Entry, inspection without a warrant etc.\n\n38\n\n\n1\nWhere an officer has reasonable cause to believe that any premises are being used by a relevant person in connection with his business or professional activities, he may on producing evidence of his authority at any reasonable time—\n\na\n\nenter the premises;\n\n\nb\n\ninspect the premises;\n\n\nc\n\nobserve the carrying on of business or professional activities by the relevant person;\n\n\nd\n\ninspect any recorded information found on the premises;\n\n\ne\n\nrequire any person on the premises to provide an explanation of any recorded information or to state where it may be found;\n\n\nf\n\nin the case of a money service business or a high value dealer, inspect any cash found on the premises.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'An officer may take copies of, or make extracts from, any recorded information found under paragraph (1).'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,'Paragraphs (1)(d) and (e) and (2) do not apply to recorded information which the relevant person would be entitled to refuse to disclose on grounds of legal professional privilege in proceedings in the High Court, except that a lawyer may be required to provide the name and address of his client and, for this purpose, regulation 37(11) applies to this paragraph as it applies to regulation 37(7) .'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,'In this regulation, “premises” means any premises other than premises used only as a dwelling.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'Entry to premises under warrant\n\n39\n\n\n1\nA justice may issue a warrant under this paragraph if satisfied on information on oath given by an officer that there are reasonable grounds for believing that the first, second or third set of conditions is satisfied.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,t,'The first set of conditions is—\n\na\n\nthat there is on the premises specified in the warrant recorded information in relation to which a requirement could be imposed under regulation 37(1)(b) ; and\n\n\nb\n\nthat if such a requirement were to be imposed—\n\ni\n\nit would not be complied with; or\n\n\nii\n\nthe recorded information to which it relates would be removed, tampered with or destroyed.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,t,'The second set of conditions is—\n\na\n\nthat a person on whom a requirement has been imposed under regulation 37(1)(b) has failed (wholly or in part) to comply with it; and\n\n\nb\n\nthat there is on the premises specified in the warrant recorded information which has been required to be produced.'
1,0,0,0,0,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,'The third set of conditions is—\n\na\n\nthat an officer has been obstructed in the exercise of a power under regulation 38 ; and\n\n\nb\n\nthat there is on the premises specified in the warrant recorded information or cash which could be inspected under regulation 38(1)(d) or (f).'
